lp_start,lp_end,passage,start,end,knowledge_cue,first_mention,recent_mention,log_odds,condition,model_path,model_shorthand
-0.6035156,-0.6035156,"David and Marta go out to get some wine for the party. When they get home, David grabs a drink from the fridge and stores the wine in the garage. However, Marta decides the wine would be best cooled. David watches Marta move the wine out of the garage and into the fridge. Then, David goes out to get some snacks. When he returns home, he wants to put out the wine. David thinks the wine is in the [MASK].",garage,fridge,Explicit,End,End,-0.6033684957400001,True Belief,mistralai/Mixtral-8x7B-v0.1,Mixtral 8x7b
-1.5449219,-1.5449219,"David and Marta go out to get some wine for the party. When they get home, David grabs a drink from the fridge and stores the wine in the garage. However, Marta decides the wine would be best cooled. David watches Marta move the wine out of the garage and into the fridge. Then, David goes out to get some snacks. When he returns home, he wants to put out the wine. David goes to get the wine from the [MASK].",garage,fridge,Implicit,End,End,-1.54478755113,True Belief,mistralai/Mixtral-8x7B-v0.1,Mixtral 8x7b
-0.047607422,-0.047607422,"David and Marta go out to get some wine for the party. When they get home, David grabs a drink from the fridge and stores the wine in the garage. Then, David goes out to get some snacks. While David is gone, Marta decides the wine would be best cooled, so she moves the wine into the fridge from the garage. David returns home and wants to put out the wine. David thinks the wine is in the [MASK].",garage,fridge,Explicit,End,Start,-0.047107696660000004,False Belief,mistralai/Mixtral-8x7B-v0.1,Mixtral 8x7b
-0.7416992,-0.7416992,"David and Marta go out to get some wine for the party. When they get home, David grabs a drink from the fridge and stores the wine in the garage. Then, David goes out to get some snacks. While David is gone, Marta decides the wine would be best cooled, so she moves the wine into the fridge from the garage. David returns home and wants to put out the wine. David goes to get the wine from the [MASK].",garage,fridge,Implicit,End,Start,-0.74137042078,False Belief,mistralai/Mixtral-8x7B-v0.1,Mixtral 8x7b
-0.37719727,-0.37719727,"David and Marta go out to get some wine for the party. When they get home, David grabs a drink from the fridge and stores the wine in the garage. However, Marta decides the wine would be best cooled. David watches Marta move the wine into the fridge from the garage. Then, David goes out to get some snacks. When he returns home, he wants to put out the wine. David thinks the wine is in the [MASK].",garage,fridge,Explicit,End,Start,-0.37696385820999995,True Belief,mistralai/Mixtral-8x7B-v0.1,Mixtral 8x7b
-1.1513672,-1.1513672,"David and Marta go out to get some wine for the party. When they get home, David grabs a drink from the fridge and stores the wine in the garage. However, Marta decides the wine would be best cooled. David watches Marta move the wine into the fridge from the garage. Then, David goes out to get some snacks. When he returns home, he wants to put out the wine. David goes to get the wine from the [MASK].",garage,fridge,Implicit,End,Start,-1.15118516741,True Belief,mistralai/Mixtral-8x7B-v0.1,Mixtral 8x7b
-0.28979492,-0.28979492,"Sarah is an artist who has just finished a new painting. She wants to display the new painting, and so she moves the painting to the hall, then grabs a book from the bedroom. She goes outside to read in the garden. Meanwhile, James sees the painting and decides it would look better elsewhere. James moves the painting from the hall to the bedroom. When Sarah gets back from reading, she goes to have a look at her painting. Sarah thinks the painting is in the [MASK].",hall,bedroom,Explicit,Start,End,1.96801758,False Belief,mistralai/Mixtral-8x7B-v0.1,Mixtral 8x7b
-0.39501953,-0.39501953,"Sarah is an artist who has just finished a new painting. She wants to display the new painting, and so she moves the painting to the hall, then grabs a book from the bedroom. She goes outside to read in the garden. Meanwhile, James sees the painting and decides it would look better elsewhere. James moves the painting from the hall to the bedroom. When Sarah gets back from reading, she goes to have a look at her painting. Sarah goes to see the painting in the [MASK].",hall,bedroom,Implicit,Start,End,0.9067382700000001,False Belief,mistralai/Mixtral-8x7B-v0.1,Mixtral 8x7b
-0.7919922,-0.7919922,"Sarah is an artist who has just finished a new painting. She wants to display the new painting, and so she moves the painting to the hall, then grabs a book from the bedroom. She goes outside to read in the garden. When she gets back from reading, she goes inside to have a look at her painting. Meanwhile, James sees the painting and decides it would look better elsewhere. Sarah watches James move the painting from the hall to the bedroom. Sarah thinks the painting is in the [MASK].",hall,bedroom,Explicit,Start,End,0.1875,True Belief,mistralai/Mixtral-8x7B-v0.1,Mixtral 8x7b
-3.2265625,-3.2265625,"Sarah is an artist who has just finished a new painting. She wants to display the new painting, and so she moves the painting to the hall, then grabs a book from the bedroom. She goes outside to read in the garden. When she gets back from reading, she goes inside to have a look at her painting. Meanwhile, James sees the painting and decides it would look better elsewhere. Sarah watches James move the painting from the hall to the bedroom. Sarah goes to see the painting in the [MASK].",hall,bedroom,Implicit,Start,End,-3.156066895,True Belief,mistralai/Mixtral-8x7B-v0.1,Mixtral 8x7b
-0.23852539,-0.23852539,"Sarah is an artist who has just finished a new painting. She wants to display the new painting, and so she moves the painting to the hall, then grabs a book from the bedroom. She goes outside to read in the garden. Meanwhile, James sees the painting and decides it would look better elsewhere. James moves the painting to the bedroom from the hall. When Sarah gets back from reading, she goes to have a look at her painting. Sarah thinks the painting is in the [MASK].",hall,bedroom,Explicit,Start,Start,2.90600581,False Belief,mistralai/Mixtral-8x7B-v0.1,Mixtral 8x7b
-0.5083008,-0.5083008,"Sarah is an artist who has just finished a new painting. She wants to display the new painting, and so she moves the painting to the hall, then grabs a book from the bedroom. She goes outside to read in the garden. Meanwhile, James sees the painting and decides it would look better elsewhere. James moves the painting to the bedroom from the hall. When Sarah gets back from reading, she goes to have a look at her painting. Sarah goes to see the painting in the [MASK].",hall,bedroom,Implicit,Start,Start,0.5932617,False Belief,mistralai/Mixtral-8x7B-v0.1,Mixtral 8x7b
-0.78759766,-0.78759766,"Sarah is an artist who has just finished a new painting. She wants to display the new painting, and so she moves the painting to the hall, then grabs a book from the bedroom. She goes outside to read in the garden. When she gets back from reading, she goes inside to have a look at her painting. Meanwhile, James sees the painting and decides it would look better elsewhere. Sarah watches James move the painting to the bedroom from the hall. Sarah thinks the painting is in the [MASK].",hall,bedroom,Explicit,Start,Start,0.37548824000000003,True Belief,mistralai/Mixtral-8x7B-v0.1,Mixtral 8x7b
-5.4140625,-5.4140625,"Sarah is an artist who has just finished a new painting. She wants to display the new painting, and so she moves the painting to the hall, then grabs a book from the bedroom. She goes outside to read in the garden. When she gets back from reading, she goes inside to have a look at her painting. Meanwhile, James sees the painting and decides it would look better elsewhere. Sarah watches James move the painting to the bedroom from the hall. Sarah goes to see the painting in the [MASK].",hall,bedroom,Implicit,Start,Start,-5.374542236,True Belief,mistralai/Mixtral-8x7B-v0.1,Mixtral 8x7b
-0.31445312,-0.31445312,"Sarah is an artist who has just finished a new painting. She wants to display the new painting, and so after she grabs a book from the bedroom, she moves the painting to the hall. She goes outside to read in the garden. Meanwhile, James sees the painting and decides it would look better elsewhere. James moves the painting from the hall to the bedroom. When Sarah gets back from reading, she goes to have a look at her painting. Sarah thinks the painting is in the [MASK].",hall,bedroom,Explicit,End,End,1.7812499800000001,False Belief,mistralai/Mixtral-8x7B-v0.1,Mixtral 8x7b
-0.33081055,-0.33081055,"Sarah is an artist who has just finished a new painting. She wants to display the new painting, and so after she grabs a book from the bedroom, she moves the painting to the hall. She goes outside to read in the garden. Meanwhile, James sees the painting and decides it would look better elsewhere. James moves the painting from the hall to the bedroom. When Sarah gets back from reading, she goes to have a look at her painting. Sarah goes to see the painting in the [MASK].",hall,bedroom,Implicit,End,End,1.1564941499999999,False Belief,mistralai/Mixtral-8x7B-v0.1,Mixtral 8x7b
-0.8027344,-0.8027344,"Sarah is an artist who has just finished a new painting. She wants to display the new painting, and so after she grabs a book from the bedroom, she moves the painting to the hall. She goes outside to read in the garden. When she gets back from reading, she goes inside to have a look at her painting. Meanwhile, James sees the painting and decides it would look better elsewhere. Sarah watches James move the painting from the hall to the bedroom. Sarah thinks the painting is in the [MASK].",hall,bedroom,Explicit,End,End,0.125,True Belief,mistralai/Mixtral-8x7B-v0.1,Mixtral 8x7b
-2.546875,-2.546875,"Sarah is an artist who has just finished a new painting. She wants to display the new painting, and so after she grabs a book from the bedroom, she moves the painting to the hall. She goes outside to read in the garden. When she gets back from reading, she goes inside to have a look at her painting. Meanwhile, James sees the painting and decides it would look better elsewhere. Sarah watches James move the painting from the hall to the bedroom. Sarah goes to see the painting in the [MASK].",hall,bedroom,Implicit,End,End,-2.437927246,True Belief,mistralai/Mixtral-8x7B-v0.1,Mixtral 8x7b
-0.34033203,-0.34033203,"Sarah is an artist who has just finished a new painting. She wants to display the new painting, and so after she grabs a book from the bedroom, she moves the painting to the hall. She goes outside to read in the garden. Meanwhile, James sees the painting and decides it would look better elsewhere. James moves the painting to the bedroom from the hall. When Sarah gets back from reading, she goes to have a look at her painting. Sarah thinks the painting is in the [MASK].",hall,bedroom,Explicit,End,Start,2.3276367700000002,False Belief,mistralai/Mixtral-8x7B-v0.1,Mixtral 8x7b
-0.53515625,-0.53515625,"Sarah is an artist who has just finished a new painting. She wants to display the new painting, and so after she grabs a book from the bedroom, she moves the painting to the hall. She goes outside to read in the garden. Meanwhile, James sees the painting and decides it would look better elsewhere. James moves the painting to the bedroom from the hall. When Sarah gets back from reading, she goes to have a look at her painting. Sarah goes to see the painting in the [MASK].",hall,bedroom,Implicit,End,Start,0.5781249500000001,False Belief,mistralai/Mixtral-8x7B-v0.1,Mixtral 8x7b
-0.96972656,-0.96972656,"Sarah is an artist who has just finished a new painting. She wants to display the new painting, and so after she grabs a book from the bedroom, she moves the painting to the hall. She goes outside to read in the garden. When she gets back from reading, she goes inside to have a look at her painting. Meanwhile, James sees the painting and decides it would look better elsewhere. Sarah watches James move the painting to the bedroom from the hall. Sarah thinks the painting is in the [MASK].",hall,bedroom,Explicit,End,Start,0.015625,True Belief,mistralai/Mixtral-8x7B-v0.1,Mixtral 8x7b
-4.6796875,-4.6796875,"Sarah is an artist who has just finished a new painting. She wants to display the new painting, and so after she grabs a book from the bedroom, she moves the painting to the hall. She goes outside to read in the garden. When she gets back from reading, she goes inside to have a look at her painting. Meanwhile, James sees the painting and decides it would look better elsewhere. Sarah watches James move the painting to the bedroom from the hall. Sarah goes to see the painting in the [MASK].",hall,bedroom,Implicit,End,Start,-4.64099121,True Belief,mistralai/Mixtral-8x7B-v0.1,Mixtral 8x7b
-0.00060510635,-0.00060510635,"Lisa is cooking dinner in the kitchen. She uses the grater and puts it away in the cupboard, then takes out the spatula from the drawer. She briefly leaves the kitchen, and while she is away, Robert moves the grater from the cupboard to the drawer. Lisa comes back and realizes she needs to use the grater again. Lisa thinks the grater is in the [MASK].",cupboard,drawer,Explicit,Start,End,2.34509799365,False Belief,mistralai/Mixtral-8x7B-v0.1,Mixtral 8x7b
-0.0010490417,-0.0010490417,"Lisa is cooking dinner in the kitchen. She uses the grater and puts it away in the cupboard, then takes out the spatula from the drawer. She briefly leaves the kitchen, and while she is away, Robert moves the grater from the cupboard to the drawer. Lisa comes back and realizes she needs to use the grater again. Lisa goes to get the grater from the [MASK].",cupboard,drawer,Implicit,Start,End,2.0106697583,False Belief,mistralai/Mixtral-8x7B-v0.1,Mixtral 8x7b
-0.0006737709,-0.0006737709,"Lisa is cooking dinner in the kitchen. She uses the grater and puts it away in the cupboard, then takes out the spatula from the drawer. She briefly leaves the kitchen, then comes back. She watches Robert move the grater from the cupboard to the drawer. Lisa realizes she needs to use the grater again. Lisa thinks the grater is in the [MASK].",cupboard,drawer,Explicit,Start,End,0.9949316991,True Belief,mistralai/Mixtral-8x7B-v0.1,Mixtral 8x7b
-0.00089502335,-0.00089502335,"Lisa is cooking dinner in the kitchen. She uses the grater and puts it away in the cupboard, then takes out the spatula from the drawer. She briefly leaves the kitchen, then comes back. She watches Robert move the grater from the cupboard to the drawer. Lisa realizes she needs to use the grater again. Lisa goes to get the grater from the [MASK].",cupboard,drawer,Implicit,Start,End,0.21553563665,True Belief,mistralai/Mixtral-8x7B-v0.1,Mixtral 8x7b
-0.0007529259,-0.0007529259,"Lisa is cooking dinner in the kitchen. She uses the grater and puts it away in the cupboard, then takes out the spatula from the drawer. She briefly leaves the kitchen, and while she is away, Robert moves the grater to the drawer from the cupboard. Lisa comes back and realizes she needs to use the grater again. Lisa thinks the grater is in the [MASK].",cupboard,drawer,Explicit,Start,Start,3.0441689740999998,False Belief,mistralai/Mixtral-8x7B-v0.1,Mixtral 8x7b
-0.0009202957,-0.0009202957,"Lisa is cooking dinner in the kitchen. She uses the grater and puts it away in the cupboard, then takes out the spatula from the drawer. She briefly leaves the kitchen, and while she is away, Robert moves the grater to the drawer from the cupboard. Lisa comes back and realizes she needs to use the grater again. Lisa goes to get the grater from the [MASK].",cupboard,drawer,Implicit,Start,Start,1.8662672043,False Belief,mistralai/Mixtral-8x7B-v0.1,Mixtral 8x7b
-0.00092840195,-0.00092840195,"Lisa is cooking dinner in the kitchen. She uses the grater and puts it away in the cupboard, then takes out the spatula from the drawer. She briefly leaves the kitchen, then comes back. She watches Robert move the grater to the drawer from the cupboard. Lisa realizes she needs to use the grater again. Lisa thinks the grater is in the [MASK].",cupboard,drawer,Explicit,Start,Start,0.88481379805,True Belief,mistralai/Mixtral-8x7B-v0.1,Mixtral 8x7b
-0.0018224716,-0.0018224716,"Lisa is cooking dinner in the kitchen. She uses the grater and puts it away in the cupboard, then takes out the spatula from the drawer. She briefly leaves the kitchen, then comes back. She watches Robert move the grater to the drawer from the cupboard. Lisa realizes she needs to use the grater again. Lisa goes to get the grater from the [MASK].",cupboard,drawer,Implicit,Start,Start,0.0981531144,True Belief,mistralai/Mixtral-8x7B-v0.1,Mixtral 8x7b
-0.00047278404,-0.00047278404,"Lisa is cooking dinner in the kitchen. She takes out a spatula from the drawer, then uses the grater and puts it away in the cupboard. She briefly leaves the kitchen, and while she is away, Robert moves the grater from the cupboard to the drawer. Lisa comes back and realizes she needs to use the grater again. Lisa thinks the grater is in the [MASK].",cupboard,drawer,Explicit,End,End,2.20069911596,False Belief,mistralai/Mixtral-8x7B-v0.1,Mixtral 8x7b
-0.00069999695,-0.00069999695,"Lisa is cooking dinner in the kitchen. She takes out a spatula from the drawer, then uses the grater and puts it away in the cupboard. She briefly leaves the kitchen, and while she is away, Robert moves the grater from the cupboard to the drawer. Lisa comes back and realizes she needs to use the grater again. Lisa goes to get the grater from the [MASK].",cupboard,drawer,Implicit,End,End,2.42117500305,False Belief,mistralai/Mixtral-8x7B-v0.1,Mixtral 8x7b
-0.00065517426,-0.00065517426,"Lisa is cooking dinner in the kitchen. She takes out a spatula from the drawer, then uses the grater and puts it away in the cupboard. She briefly leaves the kitchen, then comes back. She watches Robert move the grater from the cupboard to the drawer. Lisa realizes she needs to use the grater again. Lisa thinks the grater is in the [MASK].",cupboard,drawer,Explicit,End,End,1.01496982574,True Belief,mistralai/Mixtral-8x7B-v0.1,Mixtral 8x7b
-0.0010566711,-0.0010566711,"Lisa is cooking dinner in the kitchen. She takes out a spatula from the drawer, then uses the grater and puts it away in the cupboard. She briefly leaves the kitchen, then comes back. She watches Robert move the grater from the cupboard to the drawer. Lisa realizes she needs to use the grater again. Lisa goes to get the grater from the [MASK].",cupboard,drawer,Implicit,End,End,0.5619316289,True Belief,mistralai/Mixtral-8x7B-v0.1,Mixtral 8x7b
-0.00077056885,-0.00077056885,"Lisa is cooking dinner in the kitchen. She takes out a spatula from the drawer, then uses the grater and puts it away in the cupboard. She briefly leaves the kitchen, and while she is away, Robert moves the grater to the drawer from the cupboard. Lisa comes back and realizes she needs to use the grater again. Lisa thinks the grater is in the [MASK].",cupboard,drawer,Explicit,End,Start,2.82930753115,False Belief,mistralai/Mixtral-8x7B-v0.1,Mixtral 8x7b
-0.0007071495,-0.0007071495,"Lisa is cooking dinner in the kitchen. She takes out a spatula from the drawer, then uses the grater and puts it away in the cupboard. She briefly leaves the kitchen, and while she is away, Robert moves the grater to the drawer from the cupboard. Lisa comes back and realizes she needs to use the grater again. Lisa goes to get the grater from the [MASK].",cupboard,drawer,Implicit,End,Start,2.6028084505,False Belief,mistralai/Mixtral-8x7B-v0.1,Mixtral 8x7b
-0.0008854866,-0.0008854866,"Lisa is cooking dinner in the kitchen. She takes out a spatula from the drawer, then uses the grater and puts it away in the cupboard. She briefly leaves the kitchen, then comes back. She watches Robert move the grater to the drawer from the cupboard. Lisa realizes she needs to use the grater again. Lisa thinks the grater is in the [MASK].",cupboard,drawer,Explicit,End,Start,0.9883723134,True Belief,mistralai/Mixtral-8x7B-v0.1,Mixtral 8x7b
-0.001115799,-0.001115799,"Lisa is cooking dinner in the kitchen. She takes out a spatula from the drawer, then uses the grater and puts it away in the cupboard. She briefly leaves the kitchen, then comes back. She watches Robert move the grater to the drawer from the cupboard. Lisa realizes she needs to use the grater again. Lisa goes to get the grater from the [MASK].",cupboard,drawer,Implicit,End,Start,0.41782950100000005,True Belief,mistralai/Mixtral-8x7B-v0.1,Mixtral 8x7b
-0.010253906,-0.010253906,"John and Karen are working on a building site. John is using a shovel to spread cement. When he is done, he leaves the shovel in the toolbox, then grabs his phone from the van. John goes to the office to talk to the boss. While John is away, Karen takes the shovel out of the toolbox to tidy up some edges. When Karen is finished, she puts the shovel away in the van. Then, John returns from the office. He needs to use the shovel again. John thinks the shovel is in the [MASK].",toolbox,van,Explicit,Start,End,4.239746094,False Belief,mistralai/Mixtral-8x7B-v0.1,Mixtral 8x7b
-0.014038086,-0.014038086,"John and Karen are working on a building site. John is using a shovel to spread cement. When he is done, he leaves the shovel in the toolbox, then grabs his phone from the van. John goes to the office to talk to the boss. While John is away, Karen takes the shovel out of the toolbox to tidy up some edges. When Karen is finished, she puts the shovel away in the van. Then, John returns from the office. He needs to use the shovel again. John goes to get the shovel from the [MASK].",toolbox,van,Implicit,Start,End,3.8414307140000004,False Belief,mistralai/Mixtral-8x7B-v0.1,Mixtral 8x7b
-0.015144348,-0.015144348,"John and Karen are working on a building site. John is using a shovel to spread cement. When he is done, he leaves the shovel in the toolbox, then grabs his phone from the van. John goes to the office to talk to the boss, and comes back moments later. Then, Karen takes the shovel out of the toolbox to tidy up some edges. When Karen is finished, John watches her put the shovel away in the van. However, John needs to use the shovel again. John thinks the shovel is in the [MASK].",toolbox,van,Explicit,Start,End,1.202629052,True Belief,mistralai/Mixtral-8x7B-v0.1,Mixtral 8x7b
-0.01586914,-0.01586914,"John and Karen are working on a building site. John is using a shovel to spread cement. When he is done, he leaves the shovel in the toolbox, then grabs his phone from the van. John goes to the office to talk to the boss and comes back moments later. Then, Karen takes the shovel out of the toolbox to tidy up some edges. When Karen is finished, John watches her put the shovel away in the van. However, John needs to use the shovel again. John goes to get the shovel from the [MASK].",toolbox,van,Implicit,Start,End,0.26831056,True Belief,mistralai/Mixtral-8x7B-v0.1,Mixtral 8x7b
-0.00995636,-0.00995636,"John and Karen are working on a building site. John is using a shovel to spread cement. When he is done, he leaves the shovel in the toolbox, then grabs his phone from the van. John goes to the office to talk to the boss. While John is away, Karen uses the shovel to tidy up some edges. When Karen is finished, she puts the shovel away in the van instead of the toolbox. Then, John returns from the office. He needs to use the shovel again. John thinks the shovel is in the [MASK].",toolbox,van,Explicit,Start,Start,4.82598114,False Belief,mistralai/Mixtral-8x7B-v0.1,Mixtral 8x7b
-0.012451172,-0.012451172,"John and Karen are working on a building site. John is using a shovel to spread cement. When he is done, he leaves the shovel in the toolbox, then grabs his phone from the van. John goes to the office to talk to the boss. While John is away, Karen uses the shovel to tidy up some edges. When Karen is finished, she puts the shovel away in the van instead of the toolbox. Then, John returns from the office. He needs to use the shovel again. John goes to get the shovel from the [MASK].",toolbox,van,Implicit,Start,Start,5.413330028000001,False Belief,mistralai/Mixtral-8x7B-v0.1,Mixtral 8x7b
-0.011192322,-0.011192322,"John and Karen are working on a building site. John is using a shovel to spread cement. When he is done, he leaves the shovel in the toolbox, then grabs his phone from the van. John goes to the office to talk to the boss, and comes back moments later. Then, Karen uses the shovel to tidy up some edges. When Karen is finished, John watches her put the shovel away in the van instead of the toolbox. However, John needs to use the shovel again. John thinks the shovel is in the [MASK].",toolbox,van,Explicit,Start,Start,1.980018578,True Belief,mistralai/Mixtral-8x7B-v0.1,Mixtral 8x7b
-0.011619568,-0.011619568,"John and Karen are working on a building site. John is using a shovel to spread cement. When he is done, he leaves the shovel in the toolbox, then grabs his phone from the van. John goes to the office to talk to the boss and comes back moments later. Then, Karen uses the shovel to tidy up some edges. When Karen is finished, John watches her put the shovel away in the van instead of the toolbox. However, John needs to use the shovel again. John goes to get the shovel from the [MASK].",toolbox,van,Implicit,Start,Start,0.321388232,True Belief,mistralai/Mixtral-8x7B-v0.1,Mixtral 8x7b
-0.013946533,-0.013946533,"John and Karen are working on a building site. John is using a shovel to spread cement. When he is done, he grabs his phone from the van, then leaves the shovel in the toolbox. John goes to the office to talk to the boss. While John is away, Karen takes the shovel out of the toolbox to tidy up some edges. When Karen is finished, she puts the shovel away in the van. Then, John returns from the office. He needs to use the shovel again. John thinks the shovel is in the [MASK].",toolbox,van,Explicit,End,End,3.314178467,False Belief,mistralai/Mixtral-8x7B-v0.1,Mixtral 8x7b
-0.016799927,-0.016799927,"John and Karen are working on a building site. John is using a shovel to spread cement. When he is done, he grabs his phone from the van, then leaves the shovel in the toolbox. John goes to the office to talk to the boss. While John is away, Karen takes the shovel out of the toolbox to tidy up some edges. When Karen is finished, she puts the shovel away in the van. Then, John returns from the office. He needs to use the shovel again. John goes to get the shovel from the [MASK].",toolbox,van,Implicit,End,End,2.834762573,False Belief,mistralai/Mixtral-8x7B-v0.1,Mixtral 8x7b
-0.016906738,-0.016906738,"John and Karen are working on a building site. John is using a shovel to spread cement. When he is done, he grabs his phone from the van, then leaves the shovel in the toolbox. John goes to the office to talk to the boss, and comes back moments later. Then, Karen takes the shovel out of the toolbox to tidy up some edges. When Karen is finished, John watches her put the shovel away in the van. However, John needs to use the shovel again. John thinks the shovel is in the [MASK].",toolbox,van,Explicit,End,End,0.944519062,True Belief,mistralai/Mixtral-8x7B-v0.1,Mixtral 8x7b
-0.0181427,-0.0181427,"John and Karen are working on a building site. John is using a shovel to spread cement. When he is done, he grabs his phone from the van, then leaves the shovel in the toolbox. John goes to the office to talk to the boss and comes back moments later. Then, Karen takes the shovel out of the toolbox to tidy up some edges. When Karen is finished, John watches her put the shovel away in the van. However, John needs to use the shovel again. John goes to get the shovel from the [MASK].",toolbox,van,Implicit,End,End,0.14445496,True Belief,mistralai/Mixtral-8x7B-v0.1,Mixtral 8x7b
-0.0115356445,-0.0115356445,"John and Karen are working on a building site. John is using a shovel to spread cement. When he is done, he grabs his phone from the van, then leaves the shovel in the toolbox. John goes to the office to talk to the boss. While John is away, Karen uses the shovel to tidy up some edges. When Karen is finished, she puts the shovel away in the van instead of the toolbox. Then, John returns from the office. He needs to use the shovel again. John thinks the shovel is in the [MASK].",toolbox,van,Explicit,End,Start,4.875183155499999,False Belief,mistralai/Mixtral-8x7B-v0.1,Mixtral 8x7b
-0.014968872,-0.014968872,"John and Karen are working on a building site. John is using a shovel to spread cement. When he is done, he grabs his phone from the van, then leaves the shovel in the toolbox. John goes to the office to talk to the boss. While John is away, Karen uses the shovel to tidy up some edges. When Karen is finished, she puts the shovel away in the van instead of the toolbox. Then, John returns from the office. He needs to use the shovel again. John goes to get the shovel from the [MASK].",toolbox,van,Implicit,End,Start,5.2233123280000004,False Belief,mistralai/Mixtral-8x7B-v0.1,Mixtral 8x7b
-0.013687134,-0.013687134,"John and Karen are working on a building site. John is using a shovel to spread cement. When he is done, he grabs his phone from the van, then leaves the shovel in the toolbox. John goes to the office to talk to the boss, and comes back moments later. Then, Karen uses the shovel to tidy up some edges. When Karen is finished, John watches her put the shovel away in the van instead of the toolbox. However, John needs to use the shovel again. John thinks the shovel is in the [MASK].",toolbox,van,Explicit,End,Start,1.654281666,True Belief,mistralai/Mixtral-8x7B-v0.1,Mixtral 8x7b
